"arthritis"
"","0-17","18-29","30-39","40-49","50-59","60-69",">= 70"
"","b","b","b","b","b","b","b"
"ind_dummy",",0053974*","-,0074286",",0027247",",0811888***",",0362399","-,174208",",0304205"
"emp_dummy",",0019146",",0087143",",0029865",",0475485*","-,0095573","-,0425621",",0174294"
"_cons","3,994603***","3,977367***","3,947593***","3,876917***","3,747208***","3,484475***","3,245643***"
"cancer"
"","0-17","18-29","30-39","40-49","50-59","60-69",">= 70"
"","b","b","b","b","b","b","b"
"ind_dummy","-,0012689",",0034838*",",0012182","-,0204451","-,0007197","-,0154821","-,0485666"
"emp_dummy","-,0012689","-,0034772",",0012182",",0079435","-,0119145","-,012835","-,0397359"
"_cons","3,001269***","2,996516***","2,998782***","2,989032***","2,9904***","2,974082***","2,974963***"
"diabetes"
"","0-17","18-29","30-39","40-49","50-59","60-69",">= 70"
"","b","b","b","b","b","b","b"
"ind_dummy",",0028587",",0069637**",",0046262","-,025985",",0147654","-,111677",",0127516"
"emp_dummy",",0028587","-7,88e-07",",0071755",",0319984*",",0455195","-,0071647","-,0002385"
"_cons","3,997141***","3,993036***","3,982939***","3,931747***","3,851212***","3,766852***","3,668196***"
"bronchitis"
"","0-17","18-29","30-39","40-49","50-59","60-69",">= 70"
"","b","b","b","b","b","b","b"
"ind_dummy","-,099561","-,013156","-,0406461","-,0089737",",0124409","-,0067572",",0385457"
"emp_dummy","-,0221203","-,0504393**",",0034779","-,0214777",",0209693","-,0695924*","-,0419428"
"_cons","2,884476***","2,952989***","2,953678***","2,967095***","2,93602***","2,937825***","2,912361***"
"hypertension"
"","0-17","18-29","30-39","40-49","50-59","60-69",">= 70"
"","b","b","b","b","b","b","b"
"ind_dummy",",0057128**",",0071004",",0284452",",0433066","-,078396","-,0888913",",1292569"
"emp_dummy",",0022248",",005843",",0540483*","-,0070093",",0822553",",142088","-,0755633"
"_cons","3,994287***","3,947763***","3,797675***","3,611215***","3,264003***","3,012953***","2,901377***"
"heart_disease"
"","0-17","18-29","30-39","40-49","50-59","60-69",">= 70"
"","b","b","b","b","b","b","b"
"ind_dummy",",0088887***","-,0117972","-,0057846",",0049955","-,0292406",",0108449","-,0408682"
"emp_dummy",",0001766",",0066803",",0076375",",0371919*",",0065299","-,0328325","-,0483405"
"_cons","2,991111***","2,981713***","2,95612***","2,890316***","2,812811***","2,699516***","2,5868***"
"chronic_renal"
"","0-17","18-29","30-39","40-49","50-59","60-69",">= 70"
"","b","b","b","b","b","b","b"
"ind_dummy","-,0195915",",0104474***",",0082827",",000293",",032165","-,0300705",",022644"
"emp_dummy","-,0015837",",0081282*",",00425",",0045079",",0226767",",0001088","-,0134236"
"_cons","3,998096***","3,989553***","3,979283***","3,96831***","3,94721***","3,961138***","3,940545***"
"depression"
"","0-17","18-29","30-39","40-49","50-59","60-69",">= 70"
"","b","b","b","b","b","b","b"
"ind_dummy",",0031741","-,0270846",",0132136","-,0676279","-,0067083","-,0902625","-,0554954"
"emp_dummy",",0031741",",0168451*",",0053772",",0093087",",0300718","-,0977267","-,077806"
"_cons","2,996826***","2,966917***","2,912253***","2,900067***","2,862412***","2,841963***","2,859158***"
"tuberculosis"
"","0-17","18-29","30-39","40-49","50-59","60-69",">= 70"
"","b","b","b","b","b","b","b"
"ind_dummy","0",",0034812*","-,0075432","-,0019345","-,0087207",",0069412",",0093854"
"emp_dummy","0",",0034812*",",0048729*",",005507","-,0026999",",0207276*",",0093854"
"_cons","4","3,996519***","3,995127***","3,991469***","3,998401***","3,979272***","3,990615***"
