p1,p2,s1,s2,x1,x2,z1,z2
149,142,0.175,0.099,116,98,69.47,64.36
152,148,0.185,0.108,70,84,73.17,74.81
147,140,0.242,0.17,93,70,67.6,67.87
155,145,0.198,0.135,107,71,71.33,70.62
142,144,0.209,0.176,75,88,60.56,60.14
154,153,0.151,0.146,72,108,68.07,74.53
148,152,0.3,0.068,118,95,60,73.43
152,154,0.119,0.157,87,79,68.15,68.62
148,137,0.121,0.139,89,98,71.37,66.55
145,134,0.249,0.092,97,87,63.05,65.96
152,130,0.29,0.13,102,116,60.01,60.75
146,139,0.191,0.155,70,89,71.41,65.32
145,141,0.213,0.127,90,84,64.31,74.26
149,145,0.169,0.146,101,103,74.53,67.41
158,143,0.164,0.174,113,74,72.65,71.53
145,149,0.186,0.142,111,112,62.96,62.47
151,149,0.221,0.166,92,93,69.59,74.66
151,155,0.134,0.152,73,112,66.27,72.98
159,148,0.163,0.133,112,78,72.67,73.68
151,139,0.144,0.123,77,76,65.17,67.46
159,146,0.176,0.166,104,113,74.13,67.72
160,139,0.172,0.106,80,98,72.2,72.49
145,142,0.235,0.139,75,115,60.83,69.11
146,150,0.129,0.158,77,89,62.72,66.61
149,154,0.242,0.098,112,91,70.97,70.64
152,143,0.232,0.198,112,92,61.63,64.74
139,138,0.222,0.161,70,102,62.61,63.09
159,128,0.22,0.12,109,103,66.2,61.3
161,141,0.18,0.117,94,75,74.03,74.28
147,140,0.283,0.153,117,111,63.97,69.79
152,133,0.196,0.137,82,81,69.21,66.37
155,146,0.162,0.162,119,79,73.6,71.14
146,139,0.2,0.186,116,108,67.37,66.38
144,142,0.165,0.153,78,110,73.53,65.47
151,147,0.191,0.139,85,88,72.03,69.06
152,148,0.143,0.118,114,82,69.9,69.81
149,151,0.209,0.108,98,79,60.78,67.76
147,143,0.158,0.103,94,74,73.32,63.4
141,140,0.189,0.175,82,116,65.44,67.43
152,140,0.208,0.109,105,119,68.89,66.96
148,152,0.148,0.117,72,92,63.28,69.35
158,142,0.224,0.152,75,91,71.59,66.33
141,148,0.216,0.091,117,78,63.01,65.6
138,146,0.234,0.136,96,107,61.89,70.41
160,141,0.122,0.141,87,111,74.22,63.16
158,143,0.166,0.147,101,70,74.43,72.18
150,152,0.15,0.134,70,105,70.06,73.57
152,139,0.143,0.113,80,96,72.81,68.89
144,142,0.184,0.147,119,84,68.23,71.73
